screen_name,first,last
_AnnaMarie_11,2017-12-15T18:19:00Z,2017-12-15T18:19:00Z
_ericuhh_,2019-07-21T18:14:00Z,2019-07-21T18:14:00Z
_gracielee_,2017-12-12T20:18:00Z,2017-12-12T20:18:00Z
_JeannieSays_,2019-08-22T01:18:00Z,2019-08-22T01:18:00Z
_jennifuurrr,2017-12-26T07:19:00Z,2017-12-26T07:19:00Z
_Kyle7,2019-07-29T03:50:00Z,2019-07-29T03:50:00Z
_MattGuerra,2019-07-31T11:09:00Z,2019-07-31T11:09:00Z
_suheyyyy,2019-07-10T05:31:00Z,2019-07-10T05:31:00Z
1.18E+20,2017-12-24T17:22:00Z,2017-12-24T17:22:00Z
ABQJournal,2017-12-19T16:22:00Z,2017-12-19T19:47:00Z
aidencruz62,2018-01-12T18:00:00Z,2018-01-12T18:00:00Z
AlanLunin,2019-08-17T18:40:00Z,2019-08-17T18:40:00Z
AlbuquerqueNMRR,2017-12-19T17:34:00Z,2017-12-19T17:34:00Z
AlexisBradyknit,2019-08-25T03:21:00Z,2019-08-25T03:21:00Z
AliyahRenee_,2018-06-02T23:24:00Z,2018-06-02T23:24:00Z
alliepaige8,2019-09-14T02:48:00Z,2019-09-14T02:48:00Z
alyssa_mcvicker,2019-08-13T00:43:00Z,2019-08-13T00:43:00Z
AndyRobinette,2019-08-15T01:04:00Z,2019-08-15T01:04:00Z
AnOceanAbove,2019-08-23T21:42:00Z,2019-08-23T21:42:00Z
antiquetrucker,2018-05-26T05:11:00Z,2018-05-26T05:11:00Z
ashlei_nicole__,2019-08-01T07:10:00Z,2019-08-01T07:10:00Z
attackablee,2019-07-26T18:27:00Z,2019-07-26T18:27:00Z
AunistyN,2019-09-08T03:14:00Z,2019-09-08T03:14:00Z
avtistrv,2019-07-18T19:44:00Z,2019-07-18T19:44:00Z
beast94,2018-03-16T20:39:00Z,2018-05-29T04:40:00Z
BIGDADDY197569,2017-12-19T17:17:00Z,2017-12-19T17:17:00Z
BlackTexanJesus,2019-07-07T20:05:00Z,2019-07-07T20:05:00Z
bobbyallenroach,2019-09-16T04:19:00Z,2019-09-16T04:19:00Z
BoiBrose,2018-05-23T07:23:00Z,2018-05-23T07:23:00Z
boogledog,2019-08-27T15:54:00Z,2019-08-27T15:54:00Z
bor3gon46,2018-01-17T05:29:00Z,2018-01-17T05:29:00Z
