tweet_id,tweet_id.1,screen_name,time_posted,content,flagged,ari
329,780,jjujulangkey,2019-08-18 21:21:00,If you ride with Uber your life is in danger https://t.co/vp3qOEgdZh,1,0
999,67,Destiiny03,2018-04-17 21:40:26,This is why I’m single 🙃,0,0
1008,76,Destiiny03,2018-04-16 17:30:36,Guy*him*  https://t.co/T33hFPkXEp,0,0
1296,25,SOSA_CB_,2018-06-05 11:49:26,"@TGodfrey93 @Tsmackthebarber @MyOpini97849657 @ItsMeCathi @JanaBlade1 YOU CLEARLY asked me if I said what I said because  you were white bro, when I didn’t imply anything to do with race. The thread is showing the difference between two sentences. Instead of focusing on both crimes YOU FOCUSED ON THE ONE CONTAINING THE AFRICAN AMERICAN MALE",0,0
737,6,kbreed89,2018-01-08 18:25:38,“Don’t ask questions-that was the first rule for a quiet life with the Dursleys.” (Rowling 15) @jk_rowling,0,0
738,7,kbreed89,2018-01-08 18:20:29,"“If the motorbike was huge, it was nothing to the man sitting astride it. He was almost twice as tall as a normal man and at least five times as wide. He looked simply too big to be allowed...” (Rowling 11) Image by Jim Kay @jk_rowling  https://t.co/M0g2q0RWV2",0,0
854,48,WBAY,2018-01-19 16:41:03,#BREAKING: Family says Tom Petty died of accidental drug overdose  https://t.co/ZzzyY6VgSD,0,0
896,0,MikeNitzel,2018-01-28 15:57:56,"@jbollman8 Thank you, Jessica.",0,0
818,12,WBAY,2018-01-22 21:06:44,Jury rules then-Milwaukee County Sheriff David Clarke did not violate a man's free speech when he taunted the man on Facebook after having him detained at the airport:  https://t.co/GE26DoInV1,0,0
582,60,MayraWestAf,2018-04-06 11:44:00,The truck in front of me just paid for mine and nolens food 😩 I’m crying,0,0
140,143,Ron02069115,2018-03-01 17:17:00,"@CarleyShimkus @DICKS 99% of the population being directed by 1% , if they can go
to war .. they should be able to go to the gun store ..",1,0
108,108,reynargomez,2018-01-23 20:46:00,"@TheNewErikT93 I feel you on that! but spit on me on an ordinary day I’ll fucking kill
you",1,0
1051,7,beast94,2018-05-23 15:28:23,@deediera @ImJaySmooth20 You ain’t lien lol,0,0
888,2,NickieBryar,2018-01-25 22:02:55,I love doing what I love! 💜#voiceover #voiceacting @ Age of Learning  https://t.co/bEIgfsFUjL,0,0
1208,17,DaddyRodge_,2018-04-25 14:45:40,What hurts worse?,0,0
995,63,Destiiny03,2018-04-18 16:53:24,"Yes, bc my fatass can’t take cute pictures like this.  https://t.co/og7VAYLWlm",0,0
719,57,ABQJournal,2017-12-20 10:49:13,New Mexico remains dry as winter nears  https://t.co/OUWgiCwJsZ  https://t.co/HMEA12HFbv,0,0
674,12,ABQJournal,2017-12-23 16:27:32,Shooting victim told police he was going to be killed  https://t.co/1VDSkTh0Ih  https://t.co/DJnqHrl2qV,0,0
715,53,ABQJournal,2017-12-20 14:36:05,Spaceport America logs busiest year yet  https://t.co/aMJkMY2fnv  https://t.co/5AYsx1BMLt,0,0
743,12,kbreed89,2018-01-07 14:51:52,Finished my fourth book of the year: Maus: II! ✔️Book set somewhere you’ve always wanted to visit ✔️Book you own but have never read (until today!),0,0
992,60,Destiiny03,2018-04-18 19:56:17,@VasquezRonin Actually the vegetarian I know eats eggs but says vegans do not.,0,0
475,38,SchnaubertM,2018-03-17 06:52:15,@brithume You were fired cause you are a cockroach,0,0
821,15,WBAY,2018-01-22 19:16:54,"Marinette Marine's new warship, USS Little Rock, is ""littorally"" trapped by ice in Canada, possibly until March:  https://t.co/SRFxo0AKqg",0,0
